AtmoSud

Conditions Générales d'utilisation: 

 Diffusion libre pour une réutilisation ultérieure des données dans les conditions ci-dessous : 
 – Toute utilisation partielle ou totale de ces données doit faire référence à AtmoSud en terme de "AtmoSud - Inventaire énergétique et d'émissions de polluants et gaz à effet de serre". 
 – Données non rediffusées en cas de modification ultérieure des données. 
 
 Les données contenues dans ce document restent la propriété d'AtmoSud.
 AtmoSud peut rediffuser ce document à d'autres destinataires. 

"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","BÉDARRIDES (84)","Tous secteurs","Toutes énergies","prg100.3ges","64278518.6","kg"
"2007","BÉDOIN (84)","Tous secteurs","Toutes énergies","prg100.3ges","12585172.5","kg"
"2007","BÉDOIN (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","BELCODÈNE (13)","Tous secteurs","Toutes énergies","prg100.3ges","21333230.3","kg"
"2007","BELGENTIER (83)","Tous secteurs","Toutes énergies","prg100.3ges","15034187.7","kg"
"2007","BELLAFFAIRE (04)","Tous secteurs","Toutes énergies","prg100.3ges","1422388.7","kg"
"2007","BELVÉDÈRE (06)","Tous secteurs","Toutes énergies","prg100.3ges","3894872.8","kg"
"2007","BENDEJUN (06)","Tous secteurs","Toutes énergies","prg100.3ges","2247192.6","kg"
"2007","BERRE-LES-ALPES (06)","Tous secteurs","Toutes énergies","prg100.3ges","2484033.5","kg"
"2007","BERRE-L'ÉTANG (13)","Tous secteurs","Toutes énergies","prg100.3ges","1695038959.6","kg"
"2007","BERRE-L'ÉTANG (13)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","BESSE-SUR-ISSOLE (83)","Tous secteurs","Toutes énergies","prg100.3ges","9281860.1","kg"
"2007","BEUIL (06)","Tous secteurs","Toutes énergies","prg100.3ges","3711241.9","kg"
"2007","BEVONS (04)","Tous secteurs","Toutes énergies","prg100.3ges","1941503.0","kg"
"2007","BEYNES (04)","Tous secteurs","Toutes énergies","prg100.3ges","3334480.2","kg"
"2007","BÉZAUDUN-LES-ALPES (06)","Tous secteurs","Toutes énergies","prg100.3ges","1825399.8","kg"
"2007","BIOT (06)","Tous secteurs","Toutes énergies","prg100.3ges","53273667.9","kg"
"2007","BLAUSASC (06)","Tous secteurs","Toutes énergies","prg100.3ges","565014246.9","kg"
"2007","BLAUSASC (06)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","BLAUVAC (84)","Tous secteurs","Toutes énergies","prg100.3ges","1993913.9","kg"
"2007","BLIEUX (04)","Tous secteurs","Toutes énergies","prg100.3ges","830821.2","kg"
"2007","BOLLÈNE (84)","Tous secteurs","Toutes énergies","prg100.3ges","141788526.1","kg"
"2007","BOLLÈNE (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","BONNIEUX (84)","Tous secteurs","Toutes énergies","prg100.3ges","13702521.9","kg"
"2007","BONSON (06)","Tous secteurs","Toutes énergies","prg100.3ges","4746911.7","kg"
"2007","BORMES-LES-MIMOSAS (83)","Tous secteurs","Toutes énergies","prg100.3ges","35882257.5","kg"
"2007","BOUC-BEL-AIR (13)","Tous secteurs","Toutes énergies","prg100.3ges","107914425.1","kg"
"2007","BOULBON (13)","Tous secteurs","Toutes énergies","prg100.3ges","8137147.9","kg"
"2007","BOUYON (06)","Tous secteurs","Toutes énergies","prg100.3ges","2904411.6","kg"
"2007","BRANTES (84)","Tous secteurs","Toutes énergies","prg100.3ges","656097.3","kg"
"2007","BRAS (83)","Tous secteurs","Toutes énergies","prg100.3ges","5199779.9","kg"
"2007","BRAS-D'ASSE (04)","Tous secteurs","Toutes énergies","prg100.3ges","3811771.0","kg"
"2007","BRAUX (04)","Tous secteurs","Toutes énergies","prg100.3ges","556214.6","kg"
"2007","BREIL-SUR-ROYA (06)","Tous secteurs","Toutes énergies","prg100.3ges","10086521.1","kg"
"2007","BRENON (83)","Tous secteurs","Toutes énergies","prg100.3ges","653449.1","kg"
"2007","BRÉZIERS (05)","Tous secteurs","Toutes énergies","prg100.3ges","2104944.1","kg"
"2007","BRIANÇON (05)","Tous secteurs","Toutes énergies","prg100.3ges","51153813.7","kg"
"2007","BRIANÇONNET (06)","Tous secteurs","Toutes énergies","prg100.3ges","1272535.1","kg"
"2007","BRIGNOLES (83)","Tous secteurs","Toutes énergies","prg100.3ges","153663679.9","kg"
"2007","BRIGNOLES (83)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","BRUE-AURIAC (83)","Tous secteurs","Toutes énergies","prg100.3ges","5830785.2","kg"
"2007","BRUNET (04)","Tous secteurs","Toutes énergies","prg100.3ges","3213485.4","kg"
"2007","BUISSARD (05)","Tous secteurs","Toutes énergies","prg100.3ges","1428942.1","kg"
"2007","BUISSON (84)","Tous secteurs","Toutes énergies","prg100.3ges","3597289.1","kg"
"2007","BUOUX (84)","Tous secteurs","Toutes énergies","prg100.3ges","1738890.6","kg"
"2007","CABANNES (13)","Tous secteurs","Toutes énergies","prg100.3ges","57671125.4","kg"
"2007","CABASSE (83)","Tous secteurs","Toutes énergies","prg100.3ges","47573482.2","kg"
"2007","CABRIÈRES-D'AIGUES (84)","Tous secteurs","Toutes énergies","prg100.3ges","2983472.1","kg"
"2007","CABRIÈRES-D'AVIGNON (84)","Tous secteurs","Toutes énergies","prg100.3ges","8937407.8","kg"
"2007","CABRIÈS (13)","Tous secteurs","Toutes énergies","prg100.3ges","50510916.5","kg"
"2007","CABRIS (06)","Tous secteurs","Toutes énergies","prg100.3ges","8808874.9","kg"
